	16S001	16S002	16S003	16S004	16S005	16S006	16S007	16S009	16S010	16S011	16S012	16S013	16S015	16S017	16S018	16S019	16S020	16S021	16S022	16S023	16S024	16S025	16S026	16S027	16S028	16S029	16S030	16S031	16S033	16S034	16S037	16S039	16S040	16S044	16S045	16S046	16S047	16S048	16S049	16S051	16S053	16S054	16S055	16S056	16S057	16S058	16S059	16S060	16S061	16S062	16S063	16S064	16S065	16S066	16S068	16S069	16S070	16S072	16S073	16S074	16S075	16S076	16S077	16S078	16S079	16S080	16S081	16S083	16S084	16S085	16S086	16S087	16S088	16S089	16S090	16S091	16S093	16S094	16S095	16S097	16S098	16S099	16S100	16S101	16S102	16S104	16S105	16S106	16S109	16S110	16S111	16S112	16S113	16S114	16S115	16S116	16S117	16S118	16S119	16S120	16SExtNeg1	16SExtNeg2	16SExtNeg3	16SMock1	16SMock2	16SMock3	16SPCRNeg1	16SPCRNeg2	16SPCRNeg3	16SPCRNeg4	16S043	16S050
ASV_35	0	66	50	0	0	0	0	0	0	0	409	86	0	39	0	0	0	0	0	0	218	311	0	0	0	51	169	0	0	0	0	0	0	0	0	0	0	0	0	916	876	546	901	579	0	0	0	0	0	0	0	707	712	872	728	570	0	0	0	0	0	0	600	1243	1080	1326	719	0	0	0	0	0	0	0	254	0	0	167	95	0	0	0	0	0	0	125	51	69	43	0	0	0	0	0	0	95	152	119	119	151	0	0	0	0	0	0	0	0	0	0	0	564
ASV_36	0	0	0	0	0	0	0	0	0	39	289	0	0	0	0	0	0	0	0	67	123	231	0	0	0	0	0	0	0	0	374	211	149	0	0	0	0	0	0	948	970	629	846	513	0	0	0	0	0	0	0	649	681	901	931	466	0	0	0	0	0	0	847	1010	1122	1414	855	0	0	0	0	0	0	0	141	0	0	102	0	0	0	0	0	0	0	111	0	0	67	0	0	0	0	0	0	95	153	95	99	0	0	0	0	0	0	0	0	0	0	0	0	569
ASV_37	0	0	0	0	0	0	0	0	0	0	0	293	0	0	0	0	0	0	72	67	0	0	0	0	0	0	0	0	0	0	0	149	108	0	0	0	0	0	0	0	101	0	80	0	32	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0	0	0	100	76	96	103	125	0	0	0	0	0	0	0	498	162	1993	406	227	0	0	0	0	0	0	250	233	4256	717	72	0	0	0	55	0	915	1784	1554	308	392	0	0	0	0	0	0	0	0	0	0	0	0
ASV_38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1184	2144	1544	209	0	0	0	0	0	0	0	0	3294	2040	1168	0	0	0	0	0	0	0	0	0	322	1715	1337	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7855	0	0	0	0	0	0	0	0	0	0	951	0	0	0	810	747	705	0	0	0	0	0	914	0	0	0	533	448	0	0	0	0	767	0	0	0	1050	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_40	72	12	13	6	0	23	32	0	0	0	0	0	0	10	0	59	27	0	0	0	0	0	0	0	11	15	6	6	0	70	0	0	0	4	1	2	0	0	2	53	83	565	101	130	0	110	26	58	1	2	4315	0	258	211	60	43	0	0	2	1	1	1	18	98	67	68	94	0	0	0	0	0	0	44	706	242	0	534	453	0	0	0	0	36	0	527	319	877	590	24	0	0	0	52	0	420	829	768	603	693	0	8	0	0	0	0	0	0	0	0	1	193
ASV_41	0	0	0	0	0	0	0	852	983	290	447	0	0	0	0	0	0	0	0	0	1369	1636	194	284	0	0	0	0	0	0	0	0	0	122	97	121	40	38	20	275	290	310	365	284	0	132	151	133	38	19	0	0	324	408	236	555	0	0	97	93	0	35	567	336	320	362	531	0	0	0	0	0	0	0	146	52	0	93	104	0	0	0	0	0	0	68	63	195	75	0	0	0	0	0	0	99	214	200	119	127	0	0	0	0	0	0	0	0	0	0	0	571
ASV_42	210	754	761	388	0	136	180	0	0	0	0	0	0	357	0	496	137	0	0	0	0	0	0	0	259	702	672	1741	0	678	0	0	0	108	102	110	202	912	2716	0	0	0	0	0	0	125	153	71	476	321	0	0	0	0	0	0	0	0	49	29	554	364	0	0	0	0	0	0	0	0	0	0	31	36	0	0	0	0	0	0	30	0	15	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	492	0
ASV_43	568	734	639	444	0	95	207	0	0	0	246	85	0	0	308	304	159	0	0	0	0	0	0	0	41	617	540	2993	0	1696	0	0	79	0	0	0	341	344	390	0	0	0	0	0	41	0	0	0	167	461	0	0	0	0	0	0	0	0	134	0	362	379	0	0	0	0	0	0	0	0	0	167	146	200	0	0	0	0	0	143	0	0	0	0	158	0	0	0	0	0	0	0	0	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	313	0
ASV_44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	324	0	195	0	0	0	744	677	807	466	331	409	0	0	0	0	0	0	849	1053	923	187	447	0	0	0	0	0	0	0	0	906	1049	395	427	0	0	0	0	0	219	185	122	88	0	0	0	0	0	0	0	0	0	151	203	259	236	0	0	0	0	0	118	313	321	117	277	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	390	0
ASV_45	241	444	478	347	0	97	166	0	0	0	0	0	0	250	207	447	132	0	0	0	0	0	274	0	76	531	650	1311	0	818	0	0	0	577	511	574	60	39	51	0	406	0	0	112	0	468	750	467	76	58	0	0	163	0	267	0	0	0	486	482	138	44	0	0	162	0	110	0	0	0	0	0	0	35	86	24	0	61	0	0	0	0	0	7	0	0	0	93	0	15	0	0	0	28	0	69	90	76	0	0	0	0	0	0	0	0	0	0	0	0	22	42
ASV_46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	92	165	1354	3263	1762	0	0	0	0	0	0	123	244	116	1375	1763	0	0	0	0	0	0	33	0	111	123	765	1148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	566	0
ASV_47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12992	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0
ASV_48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	912	499	1653	263	0	0	0	0	0	0	0	0	2202	1530	1032	0	0	0	0	0	0	0	0	0	99	1471	1101	15	0	0	0	0	0	0	0	164	197	183	0	0	0	0	0	0	0	0	0	169	167	158	0	0	0	0	0	0	0	297	512	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_49	160	184	223	96	0	0	107	0	0	0	0	0	0	0	66	91	92	0	0	0	0	0	0	0	0	178	203	1032	0	1051	0	0	0	130	44	189	770	805	960	0	0	0	0	0	76	193	295	154	468	1054	0	0	0	0	0	0	0	0	378	387	737	961	0	0	0	0	0	62	0	0	0	0	45	55	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	92	37	48	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	776	0
