	ITS001	ITS002	ITS003	ITS004	ITS005	ITS006	ITS007	ITS008	ITS009	ITS010	ITS011	ITS012	ITS013	ITS014	ITS015	ITS016	ITS017	ITS018	ITS019	ITS020	ITS021	ITS022	ITS023	ITS026	ITS027	ITS028	ITS029	ITS030	ITS031	ITS033	ITS034	ITS037	ITS039	ITS040	ITS043	ITS044	ITS045	ITS046	ITS047	ITS048	ITS049	ITS050	ITS051	ITS052	ITS053	ITS054	ITS055	ITS056	ITS057	ITS058	ITS059	ITS060	ITS061	ITS062	ITS063	ITS064	ITS065	ITS066	ITS067	ITS068	ITS069	ITS070	ITS072	ITS073	ITS074	ITS075	ITS076	ITS077	ITS078	ITS079	ITS080	ITS081	ITS083	ITS084	ITS085	ITS086	ITS087	ITS088	ITS089	ITS090	ITS091	ITS092	ITS093	ITS094	ITS095	ITS097	ITS098	ITS099	ITS100	ITS101	ITS102	ITS103	ITS104	ITS105	ITS106	ITS107	ITS109	ITS110	ITS111	ITS112	ITS113	ITS114	ITS115	ITS116	ITS117	ITS118	ITS119	ITS120	ITSExtNeg1	ITSExtNeg2	ITSExtNeg3	ITSMock1	ITSMock2	ITSMock3	ITSPCRNeg1	ITSPCRNeg2	ITSPCRNeg3
ASV_31	0	0	0	0	0	0	0	11	1800	1226	822	0	0	0	0	0	0	21	0	0	0	0	0	5133	597	0	0	0	0	0	0	8010	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	327	0	0	0	0	0	0	0	0	645	0	0	0	0	0	858	0	0	0	0	0	0	0	355	0	306	0	0	0	0	0	0	0	0	2263	0	906	639	1440	1702	0	0	0	0	0	0	0	1713	700	704	0	140	0	0	0	0	0	0	984	748	970	878	1205	0	0	0	0	0	0	0	0	0
ASV_33	0	0	0	0	0	0	0	4117	0	0	0	421	902	1014	0	0	0	0	0	0	1410	2746	2236	0	3442	0	0	0	0	0	0	0	179	421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	756	0	0	0	316	542	0	0	0	0	0	0	4355	459	227	0	0	6804	0	0	0	0	0	0	178	138	182	427	502	0	0	0	0	0	0	39	0	0
ASV_35	0	0	0	0	0	0	0	204	0	221	0	125	241	711	0	0	0	0	0	0	0	200	975	0	0	0	0	0	0	0	0	0	0	313	0	0	0	0	0	0	0	910	0	0	1288	965	888	1032	0	0	0	0	0	0	0	1311	1519	0	1788	0	0	0	0	0	0	0	0	0	0	776	1325	1712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_36	13	0	7	15	0	0	0	3341	0	44	0	21	450	507	0	0	0	0	0	0	8783	1368	456	0	73	0	0	0	0	0	0	0	25	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	13	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_37	5	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	30	439	841	302	17	242	0	0	0	0	0	0	0	130	1457	1377	1003	210	0	0	0	0	0	0	0	0	0	67	970	1369	1179	1241	0	0	0	0	0	22	447	336	200	0	20	22	0	0	0	0	0	0	0	679	330	440	20	22	0	0	0	0	0	0	0	0	485	416	37	0	0	0	0	0	0	0	739	0	0	0	0	0	0	0
ASV_38	15	34	35	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	895	220	536	247	0	1143	903	0	0	0	0	0	0	0	635	157	345	141	981	312	0	0	0	0	0	0	0	65	0	34	36	394	534	0	0	0	0	0	475	0	0	0	316	1343	988	0	0	0	0	0	0	0	76	0	0	0	763	0	0	0	0	0	0	0	0	0	0	893	2448	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	211	52	46	89	153	340	0	0	0	0	0	0	46	264	251	0	61	177	0	0	0	0	0	0	0	0	67	123	455	331	0	0	0	0	0	0	0	457	67	750	540	324	1005	0	0	0	0	0	0	16	1149	522	761	206	0	0	0	0	0	0	60	696	724	722	1316	1989	0	0	0	0	0	0	0	0	0
ASV_40	492	0	681	716	611	0	0	0	0	0	0	0	0	0	0	587	671	0	619	470	0	0	0	0	0	0	0	0	0	0	567	0	0	0	881	0	0	0	161	712	439	0	0	0	0	0	0	0	377	0	0	0	1139	673	0	0	0	0	0	0	0	0	0	0	0	245	164	0	0	0	0	0	516	0	0	0	428	574	648	0	0	0	0	0	0	0	0	0	0	364	494	0	0	0	0	0	0	0	0	0	0	448	464	0	0	0	0	0	0	0	0	0	0	0	0	0	0
