ID,Beverage,Treatment,Day,SPC,APDA,Trial ,Sample_or_Control,Shelf_Life_Stage,Spoilage,citric,tartaric,malic,lactic,acetic,glucose,fructose,EtOH,Brix,pH
ITS110,Orange Juice,UV,14,6.097,5.886,3,True Sample,End,Spoiled,10.1,0.3,2,0,0.1,36,38.2,0.1,11,3.56
ITS111,Orange Juice,Pasteurization,63,5.130333768,5.250420002,3,True Sample,End,Spoiled,8.3,0.4,1.9,0.3,0.1,44,46.5,0.2,11.4,3.67
ITS112,Orange Juice,Pasteurization + SB + PS,147,0.698970004,0,3,True Sample,End,Not spoiled,6.6,0.3,1.5,0.2,0.1,35.7,37.3,0.1,10.3,3.72
ITS113,Orange Juice,Pasteurization + DMDC + NG,147,0.698970004,0,3,True Sample,End,Not spoiled,7.6,0.4,1.7,0.2,0.1,40.3,42.2,0.1,10.7,3.67
ITS114,Orange Juice,HPP,126,1.113943352,0,3,True Sample,End,Not spoiled,11.2,0.4,2.5,0,0.1,40,41.6,0.1,10.6,3.58
ITS115,Orange Juice,HPP + DMDC + NG,126,0.698970004,0,3,True Sample,End,Not spoiled,11.1,0.4,2.4,0,0.2,39.2,40.8,0.1,10.5,3.58
ITS116,Cider,Pasteurization,147,1.255272505,0,3,True Sample,End,Not spoiled,0,0,4,0,0,25.5,64.8,0,10.8,3.62
ITS117,Cider,Pasteurization + SB + PS,147,1.397940009,0,3,True Sample,End,Not spoiled,0,0,3.4,0,0,22,55.8,0,7.8,3.72
ITS118,Cider,Pasteurization + DMDC + NG,147,1.301029996,0,3,True Sample,End,Not spoiled,0,0,4.3,0,0,27.6,69.7,0,8.9,3.65
ITS119,Cider,HPP,126,0.698970004,0,3,True Sample,End,Not spoiled,0,0,4.3,0,0,23.4,67.5,0,9.8,3.53
ITS120,Cider,HPP + DMDC + NG,126,0.903089987,0,3,True Sample,End,Not spoiled,0,0,4.6,0,0,24.8,70.6,0,10.3,3.53
ITSExtNeg1,NA,NA,NA,NA,NA,NA,Control Sample,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ITSExtNeg2,NA,NA,NA,NA,NA,NA,Control Sample,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ITSExtNeg3,NA,NA,NA,NA,NA,NA,Control Sample,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ITSMock1,NA,NA,NA,NA,NA,NA,Control Sample,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ITSMock2,NA,NA,NA,NA,NA,NA,Control Sample,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ITSMock3,NA,NA,NA,NA,NA,NA,Control Sample,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ITSPCRNeg1,NA,NA,NA,NA,NA,NA,Control Sample,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ITSPCRNeg2,NA,NA,NA,NA,NA,NA,Control Sample,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ITSPCRNeg3,NA,NA,NA,NA,NA,NA,Control Sample,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
